id,label,parent,value
30514008_26,null,196707000_9,1
77987006,null,,1
500790491000119109,null,,1
52182008_2,null,119291004_1,4
51868009_5,null,52182008_2,4
1197691004,null,,1
235692002,null,,1
79806007,null,,1
724534002,null,,1
3411000119107_3,null,52182008_2,1
79806007,null,,1
29384001_2,null,119291004_1,9
125626004_2,null,29384001_2,1
235674005_3,null,125626004_2,1
9829001_6,null,235674005_3,1
19850005_11,null,9829001_6,1
48974009,null,,1
62366003_16,null,9829001_6,1
48974009,null,,1
61401005_3,null,29384001_2,3
15902003_7,null,61401005_3,3
89748001_15,null,15902003_7,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
62366003_17,null,15902003_7,1
48974009,null,,1
16694003_8,null,15902003_7,1
70418001,null,,1
386211005_2,null,29384001_2,1
13267003_2,null,386211005_2,1
235675006_3,null,13267003_2,1
713704004_3,null,235675006_3,1
713702000,null,,1
717864006_2,null,29384001_2,3
89748001_16,null,717864006_2,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
62366003_18,null,717864006_2,1
48974009,null,,1
16694003_9,null,717864006_2,1
70418001,null,,1
253763002_2,null,29384001_2,1
235675006_4,null,253763002_2,1
713704004_4,null,235675006_4,1
713702000,null,,1
3411000119107_4,null,29384001_2,1
79806007,null,,1
300296006_2,null,29384001_2,8
235674005_4,null,300296006_2,1
9829001_7,null,235674005_4,1
19850005_12,null,9829001_7,1
48974009,null,,1
62366003_19,null,9829001_7,1
48974009,null,,1
126824007_3,null,300296006_2,1
363349007_4,null,126824007_3,1
276811008_4,null,363349007_4,1
448709005_4,null,276811008_4,1
449222008,null,,1
397825006_3,null,300296006_2,7
9829001_8,null,397825006_3,1
19850005_13,null,9829001_8,1
48974009,null,,1
62366003_20,null,9829001_8,1
48974009,null,,1
15902003_8,null,397825006_3,3
89748001_17,null,15902003_8,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
62366003_21,null,15902003_8,1
48974009,null,,1
16694003_10,null,15902003_8,1
70418001,null,,1
73481001_4,null,397825006_3,1
67964002_9,null,73481001_4,1
30514008_27,null,67964002_9,1
77987006,null,,1
2783007_10,null,73481001_4,1
35517004_10,null,2783007_10,1
77987006,null,,1
30514008_28,null,2783007_10,1
77987006,null,,1
79806007,null,,1
16121001_7,null,397825006_3,1
2783007_11,null,16121001_7,1
35517004_11,null,2783007_11,1
77987006,null,,1
30514008_29,null,2783007_11,1
77987006,null,,1
196707000_10,null,16121001_7,1
30514008_30,null,196707000_10,1
77987006,null,,1
235651006_3,null,397825006_3,1
956321981000119108,null,,1
95529005_4,null,397825006_3,5
89748001_18,null,95529005_4,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
